Rank,Prospect,College,P1,Ht,Wt,Elig
1,Will Anderson Jr.,Alabama,EDGE,"6'4""",253,JR
2,C.J. Stroud,Ohio State,QB,"6'3""",214,RSO
3,Bryce Young,Alabama,QB,"5'10""",204,JR
4,Bijan Robinson,Texas,RB,"6'0""",221,JR
5,Tyree Wilson,Texas Tech,EDGE,"6'6""",271,SR
6,Anthony Richardson,Florida,QB,"6'4""",244,RSO
7,Paris Johnson Jr.,Ohio State,OT,"6'6""",313,JR
8,Peter Skoronski,Northwestern,OT,"6'4""",313,JR
9,Christian Gonzalez,Oregon,CB,6'1',197,RSO
10,Joey Porter Jr.,Penn State,CB,"6'2""",193,RJR
11,Jalen Carter,Georgia,DT,"6'3""",314,JR
12,Lukas Van Ness,Iowa,DT,"6'5""",272,RSO
13,Devon Witherspoon,Illinois,CB,"5'11""",181,RJR
14,Bryan Bresee,Clemson,DT,"6'5""",298,RSO
15,Quentin Johnston,TCU,WR,"6'2""",208,JR
16,Will Levis,Kentucky,QB,"6'4""",229,RSR
17,Nolan Smith,Georgia,EDGE,"6'2""",238,SR
18,Jaxon Smith-Njigba,Ohio State,WR,"6'0""",196,JR
19,O'Cyrus Torrence,Florida,OG,"6'5""",330,RJR
20,Michael Mayer,Notre Dame,TE,"6'4""",240,JR
21,Broderick Jones,Georgia,OT,"6'5""",311,RSO
22,Myles Murphy,Clemson,EDGE,"6'5""",258,JR
23,Brian Branch,Alabama,S,"6'0""",190,JR
24,Deonte Banks,Maryland,CB,"6'0""",197,RJR
25,Jordan Addison,USC,WR,"5'11""",173,JR
26,Zay Flowers,Boston College,WRS,"5'9""",182,SR
27,Will McDonald IV,Iowa State,EDGE,"6'3""",239,RSR
28,Anton Harrison,Oklahoma,OT,"6'4""",315,JR
29,Cam Smith,South Carolina,CB,"6'0""",180,RJR
30,Darnell Wright,Tennessee,OT,"6'5""",333,RJR
31,Antonio Johnson,Texas A&M,S,"6'2""",198,JR
32,Trenton Simpson,Clemson,OLB,"6'3""",230,JR
33,Calijah Kancey,Pitt,DT,"6'1""",281,RJR
34,Dalton Kincaid,Utah,TE,"6'4""",242,SR
35,Jahmyr Gibbs,Alabama,RB,"5'11""",200,RSO
36,John Michael Schmitz,Minnesota,OC,"6'3""",301,RSR
37,Mazi Smith,Michigan,DT,"6'3""",323,SR
38,Drew Sanders,Arkansas,ILB,"6'4""",244,JR
39,Isaiah Foskey,Notre Dame,EDGE,"6'5""",264,RJR
40,Hendon Hooker,Tennessee,QB,"6'3""",217,RSR
41,Darnell Washington,Georgia,TE,"6'6""",265,JR
42,Josh Downs,North Carolina,WR,"5'9""",171,JR
43,Emmanuel Forbes,Mississippi State,CB,"6'0""",166,JR
44,Felix Anudike-Uzomah,Kansas State,EDGE,"6'3""",255,JR
45,Keion White,Georgia Tech,DT,"6'5""",285,RSR
46,Zach Harrison,Ohio State,EDGE,"6'5""",274,RJR
47,Derick Hall,Auburn,EDGE,"6'3""",254,SR
48,Adetomiwa Adebawore,Northwestern,DT,"6'2""",282,SR
49,Devon Achane,Texas A&M,RB,"5'8""",185,JR
50,Keeanu Benton,Wisconsin,DT,"6'4""",309,SR
51,Luke Musgrave,Oregon State,TE,"6'6""",252,RJR
52,Steve Avila,TCU,OG,"6'3""",332,RSR
53,Jordan Battle,Alabama,S,"6'1""",209,RJR
54,Matthew Bergeron,Syracuse,OT,"6'5""",318,SR
55,Clark Phillips III,Utah,CBN,"5'9""",184,RSR
56,Siaki Ika,Baylor,DT,"6'3""",335,RJR
57,Jack Campbell,Iowa,ILB,"6'5""",243,SR
58,Gervon Dexter,Florida,DT,"6'6""",310,JR
59,Jalin Hyatt,Tennessee,WR,"6'0""",176,JR
60,Tyrique Stevenson,Miami (FL),CB,"6'0""",198,RJR
61,Kyu Blu Kelly,Stanford,CB,"6'0""",191,RJR
62,Joe Tippmann,Wisconsin,OC,"6'6""",313,RJR
63,Michael Wilson,Stanford,WR,"6'2""",213,RSR
64,Cody Mauch,North Dakota State,OG,"6'5""",302,RSR
65,Julius Brents,Kansas State,CB,"6'3""",198,SR
66,D.J. Turner,Michigan,CBN,"5'11""",178,RJR
67,Kelee Ringo,Georgia,CB,"6'1""",207,RSO
68,Zach Charbonnet,UCLA,RB,"6'1""",220,SR
69,B.J. Ojulari,LSU,EDGE,"6'2""",248,JR
70,Blake Freeland,BYU,OT,"6'8""",302,JR
71,Ji'Ayir Brown,Penn State,S,"5'11""",203,RSR
72,Byron Young,Tennessee,EDGE,"6'2""",250,SR
73,Daiyan Henley,Washington State,OLB,"6'2""",232,RSR
74,Nathaniel Dell,Houston,WRS,"5'8""",165,RJR
75,Rashee Rice,SMU,WR,"6'1""",204,RJR
76,Luke Wypler,Ohio State,OC,"6'3""",303,RSO
77,Riley Moss,Iowa,CB,"6'1""",193,RJR
78,Dawand Jones,Ohio State,OT,"6'8""",374,RJR
79,Christopher Smith II,Georgia,S,"5'11""",192,RSR
80,Chase Brown,Illinois,RB,"5'9""",215,JR
81,Kayshon Boutte,LSU,WR,"5'11""",195,JR
82,Sam LaPorta,Iowa,TE,"6'3""",245,SR
83,Tuli Tuipulotu,USC,DT,"6'3""",266,JR
84,Tyler Scott,Cincinnati,WRS,"5'10""",177,JR
85,Sydney Brown,Illinois,S,"5'10""",211,RSR
86,Marvin Mims,Oklahoma,WR,"5'11""",183,JR
87,Jaelyn Duncan,Maryland,OT,"6'6""",306,RSR
88,J.L. Skinner,Boise State,S,"6'4""",209,SR
89,Darius Rush,South Carolina,CB,"6'2""",198,RSR
90,Henry To'o To'o,Alabama,ILB,"6'2""",228,RJR
91,Eli Ricks,Alabama,CB,"6'2""",188,JR
92,Jammie Robinson,Florida State,S,"5'11""",191,RJR
93,Tyjae Spears,Tulane,RB,"5'10""",204,JR
94,Zack Kuntz,Old Dominion,TE,"6'7""",251,RJR
95,DeMarvion Overshown,Texas,OLB,"6'4""",221,RSR
96,Noah Sewell,Oregon,ILB,"6'3""",251,JR
97,Andre Carter II,Army,EDGE,"6'6""",250,RJR
98,Tucker Kraft,South Dakota State,TE,"6'5""",255,RJR
99,Cedric Tillman,Tennessee,WR,"6'3""",213,RSR
100,Trey Palmer,Nebraska,WR,"6'0""",192,RJR
