Pick #,Team,Conference,Division,Priority,Second Priority,Selected Player
1,Carolina Panthers,NFC,South,QB,WR,
2,Houston Texans,AFC,South,QB,WR,
3,Arizona Cardinals,NFC,West,EDGE,CB,
4,Indianapolis Colts,AFC,South,QB,CB,
5,Seattle Seahawks,NFC,West,DT,EDGE,
6,Detroit Lions,NFC,North,DT,EDGE,
7,Las Vegas Raiders,AFC,West,EDGE,DT,
8,Atlanta Falcons,NFC,South,EDGE,CB,
9,Chicago Bears * From Carolina,NFC,North,OT,CB,
10,Philadelphia Eagles * From New Orleans,NFC,East,CB,EDGE,
11,Tennessee Titans,AFC,South,OT,WR,
12,Houston Texans,AFC,North,QB,WR,
13,New York Jets,AFC,East,OT,S,
14,New England Patriots,AFC,East,CB,OT,
15,Green Bay Packers,NFC,North,TE,S,
16,Washington Commanders,NFC,East,QB,OT,
17,Pittsburgh Steelers,AFC,North,OT,CB,
18,Detroit Lions,NFC,West,EDGE,CB,
19,Tampa Bay Buccaneers,NFC,South,QB,TE,
20,Seattle Seahawks,AFC,West,EDGE,TE,
21,Los Angeles Chargers,AFC,West,DT,EDGE,
22,Baltimore Ravens,AFC,North,WR,EDGE,
23,Minnesota Vikings,NFC,North,CB,DT,
24,Jacksonville Jaguars,AFC,South,OT,CB,
25,New York Giants,NFC,East,WR,CB,
26,Dallas Cowboys,NFC,East,RB,DT,
27,Buffalo Bills,AFC,East,WR,OT,
28,Cincinnati Bengals,AFC,North,EDGE,OT,
29,New Orleans Saints,NFC,West,DL,EDGE,
30,Philadelphia Eagles,NFC,South,TE,EDGE,
31,Kansas City Chiefs,AFC,West,WR,EDGE,
